"","V1"
"'santie'",1
"'save",1
"'scary'",1
"'school'",1
"'scientists'",1
"'scream'",1
"'screw",1
"'screwdriver",1
"'scrounger'",1
"'scroungers'",1
"'scrub'",1
"'scrumptious'",1
"'scuse",1
"'searching'",1
"'seasoned'",1
"'second",2
"'secret",1
"'see",4
"'see'",3
"'seen",2
"'self",1
"'set'",1
"'settling",1
"'seven",1
"'seventeen'",1
"'several",1
"'shahi",1
"'shandy'",1
"'shapewear'",1
"'share",1
"'share'",2
"'she",1
"'sheltered",1
"'shelves'",1
"'shield'",1
"'shiftless'",1
"'shiny",1
"'shipping",1
"'shirley'",1
"'shite'",2
"'shocked",1
"'should'",1
"'sibolettes'",1
"'sightseeing'",1
"'silk",2
"'silly'",1
"'simple",1
"'simply",1
"'sincerity'",1
"'singleissue",1
"'sister",1
"'skillful",1
"'skítatúr'",1
"'slack",1
"'slap",1
"'slices'",1
"'slims'",1
"'small'",1
"'smoking",2
"'so",3
"'soaponarope'",1
"'soccer'",1
"'social'",1
"'socialist'",1
"'soft",1
"'soil'",3
"'soiled'",1
"'sole",1
"'solidarity'",1
"'solve'",1
"'some",1
"'someday'",1
"'something'",1
"'sometimes",1
"'somewhere",2
"'sonny'",1
"'soraya'",1
"'sou'",1
"'souks",1
"'sources",1
"'space'",1
"'special",1
"'special'",1
"'specially",1
"'sphere'",1
"'spirit",1
"'splash",1
"'sport",1
"'springs",1
"'spying",1
"'squaw'",1
"'stand",1
"'starozogorski",1
"'stars'",1
"'starting",1
"'stash'",1
"'step",2
"'stepping",1
"'stinky'",1
"'stock'",1
"'stop",1
"'storm",1
"'story",1
"'story'",1
"'storybook",1
"'strawman'",1
"'street",1
"'stretched'",1
"'strictly",1
"'strident'",1
"'studio",1
"'studio'",1
"'study",1
"'stumble'",1
"'stunner'",1
"'submissions",1
"'substantial'",1
"'success'",1
"'sugar",1
"'sukhaantar'",1
"'sukhtardvip'",1
"'sunkissed'",1
"'superstitious'",1
"'support'",1
"'suppose",1
"'surprise",1
"'swaddles'",1
"'sweet",2
"'sweet'",1
"'t'",3
"'taff'",1
"'tags",1
"'tailoff'",1
"'take",3
"'taken",1
"'tales",1
"'tango'",1
"'tea",1
"'tea'",1
"'teachers'",1
"'teaching",1
"'team",1
"'techie'",1
"'technical'",1
"'teenage",1
"'teenspeak'",1
"'temporary",1
"'terrible'",1
"'thank",2
"'that",1
"'that's",1
"'the",48
"'therapy'",1
"'there's",1
"'theres",1
"'these",2
"'thin",1
"'thing'",1
"'things",1
"'third",1
"'this",3
"'those",1
"'threads",1
"'thumbs",1
"'thus",1
"'tick'",1
"'ticker'",1
"'tidal",1
"'til",6
"'till",1
"'time",2
"'time'",1
"'tin",1
"'tip",1
"'tis",7
"'to",7
"'toddy'",1
"'toe'",1
"'together",1
"'tohaveagoatmakingsometime'",1
"'tomorrow",1
"'too",4
"'top",2
"'totes",1
"'town'",1
"'traditional'",1
"'tragedy'",1
"'train",1
"'training'",1
"'traitors",1
"'transporting",1
"'trashbloggers'",1
"'travelsize'",1
"'treasure",1
"'treasure'",1
"'treasures'",2
"'treat'",1
"'treated'",1
"'treating'",1
"'tude",2
"'turn",1
"'twas",4
"'tweak'",1
"'two",1
"'tying",1
"'types'",1
"'typical",1
"'typical'",1
"'ugg",1
"'ugly'",1
"'uh",1
"'ummmm'",1
"'un",1
"'unbeliever'",1
"'uncertainty'",1
"'unconditionally",1
"'under",1
"'undermined'",1
"'unemployable'",1
"'unfollowing'",1
"'unsustainable'",1
"'unusual",1
"'up",2
"'up'",2
"'us'",1
"'using'",1
"'v'",1
"'v2catholic",1
"'vacation'",1
"'value'",1
"'varoeldur'",1
"'ve",2
"'verity'",1
"'vertex'",1
"'very",3
"'very'",1
"'vespers'",1
"'viable'",1
"'victim'",1
"'victory'",1
"'videos'",1
"'vine",1
"'vintage",1
"'vintage'",1
"'virginia",1
"'vitesse",1
"'voted'",1
"'wallpaper'",1
"'walmylorddidnooneloveyouenoughtostopyoubeforeyougotoutofthehouseinthat",1
"'wandering",1
"'ware",1
"'waste",1
"'watching'",1
"'wavy",1
"'wayne's",1
"'we",6
"'we'",2
"'we're",3
"'well",3
"'were",1
"'what",11
"'what'",1
"'whatever",2
"'whatif's'",1
"'when",2
"'where",1
"'whether",1
"'which",2
"'whiff'",1
"'while",1
"'while'",1
"'white'",1
"'whitley",1
"'who",5
"'whole'",1
"'why",13
"'why'",3
"'wicked",1
"'widening'",1
"'willo'",1
"'wine",1
"'woeful'",1
"'wolf",1
"'women's",1
"'woo",1
"'woohoo'",1
"'wooses'",1
"'work'",4
"'working'",1
"'works",1
"'workspaces'",1
"'worn",1
"'worthwhile'",1
"'wow'",1
"'wrap",1
"'writing",1
"'wrong",1
"'wrong'",1
"'xenophobic'",1
"'xunan",1
"'yeahbut'",1
"'year",1
"'yellow",1
"'yes",1
"'yes'",2
"'yoof'",1
"'you",7
"'you'",1
"'you're",1
"'young",2
"'young'",1
"'younger",1
"'your",1
"'yummy",1
"'z'",2
"'zample",1
"'zarda'",2
"'zed'",1
"'zee'",1
"'zine",2
"0'clock",2
"000",23
"00000",1
"000000000",1
"00001",1
"000036",1
"000922f44tpe",1
"000crore",1
"001",19
"0014am",1
"002",6
"002216",1
"003",1
"003mm",1
"004",1
"00403",1
"004627",1
"005",1
"006",2
"007",6
"008184",1
"009029",1
"00s",1
"010",3
"010282",1
"01032009",1
"01042011",1
"0105",2
"01052012",1
"010x",1
"011",1
"01102009",1
"011111110000000000000000",1
"011220",1
"0114",5
"01222009",1
"0124",1
"0125",1
"013",1
"0130am",1
"014",2
"015",1
"0157h7",1
"018",1
"01announcement",1
"01phantomswhammp3",1
"020",2
"02032012",1
"0205",1
"02072008",1
"021",1
"02132010",1
"02152012",1
"0217",1
"02172012",1
"0218",1
"022",1
"0221",3
"0221am",1
"02252012",1
"023",1
"024",1
"0240",1
"0247",1
"025",3
"0251",1
"0259",1
"025mils",1
"025oz",1
"027024",1
"027033",1
"027035",1
"028035",1
"029",1
"02eliminators",1
"02kg",1
"02litess",1
"02wallflower",1
"0300",2
"0300044461",1
"03062012",2
"0307",1
"03092012",1
"0312",1
"0322",2
"0325",1
"0327",1
"0328",1
"0336",1
"034",1
"0349",1
"035073",1
"037",1
"03738",1
"039",1
"03bushel",1
"03ev",1
"03lexicon",1
"03masimba",1
"03mg",1
"03street",1
"0400",1
"0401",1
"0402",1
"04032012",1
"040506",1
"0407",1
"0409",1
"04092012",1
"04142012",1
"04152012",1
"0417",1
"042",1
"0420",2
"0422",1
"0429",1
"0434021628",1
"0437225187",1
"043942089x",1
"0443",1
"045",1
"0454",1
"046",1
"048",1
"0486",1
"04derrick",1
"04mgkg",1
"04phantomsmemphismp3",1
"050",8
"0500",1
"0501",2
"050111",1
"0502",1
"05032012",1
"05072009",1
"0508",1
"05092012",1
"051112",1
"0516",1
"051712",1
"052",1
"0522",1
"0528",1
"052912",1
"05292012",1
"0539",1
"0544",1
"0558z",1
"05605",1
"059",1
"05from",1
"05years",1
"060",3
"0603",2
"060511",1
"061",1
"0610",1
"06121974",1
"0615",1
"0619",1
"0623",1
"0624",1
"062410",1
"0627",1
"0628",1
"0629",1
"063",1
"064",1
"0655",1
"06eyesight",1
"06jah",1
"06kidman",1
"06no",1
"06phantomsballad",1
"06steps",1
"06strange",1
"07's",1
"0700",1
"07004",1
"07032012",2
"07042009",1
"0705",1
"0706",1
"07065221108",1
"07087499733",1
"0713",1
"07132007",1
"0714",1
"0716",1
"0727",1
"0728",2
"0730",1
"07302009",1
"0736944710",1
"0743",1
"075",1
"0757",1
"07779168516",1
"0781",1
"079",1
"07931",1
"0799",1
"07christine",1
"07cv005103",1
"07kg",2
"07through",1
"07what",1
"07yo",1
"080",1
"0800",2
"0803",1
"08032012",1
"08062007",1
"08068",1
"0807",1
"080809",1
"08102010",1
"08112010",4
"08122010",4
"08182010",1
"082",2
"08202011",1
"08242010",2
"08252010",1
"08272010",1
"0829",1
"083",1
"08302010",1
"0840am",1
"0844",1
"08454",1
"0847",1
"0858",1
"085950",1
"0861",1
"086287",1
"088076",1
"088542",1
"08five",1
"08fleerekkers",1
"08mid",1
"09'",1
"0902",1
"090310",1
"090412",1
"09072011",1
"09092011",1
"09122010",1
"09122011",2
"0917",1
"09173045037",1
"0918",1
"091829",1
"09192011",1
"09202011",1
"09212011",1
"0925",2
"092829",1
"0930",1
"09302011",1
"0936",1
"0940",1
"0945",1
"095",1
"0950",1
"09690635353ms",1
"0974",1
"099",6
"099342",1
"099709",1
"09m",1
"09pointing",1
"09victim",1
"0g0",1
"0mg0",1
"0oz",1
"0th",1
"0x00a10003",1
"0x00a10005",1
"0x07",2
"0x09",1
"0x80",4
"1'oclock",1
"1's",3
"100",457
"100's",1
"1000",123
"10000",52
"100000",28
"1000000",6
"10000000",2
"100000had",1
"100000s",1
"1000020000",1
"100005000",1
"10000bc",1
"10000ftlbs",1
"10000l",1
